archArea,archGbCd,archGbCdNm,archPmsDay,atchBldDongCnt,bcRat,bjdongCd,bldNm,block,bun,crtnDay,fmlyCnt,guyukCd,guyukCdNm,hhldCnt,hoCnt,ji,jiguCd,jiguCdNm,jimokCd,jimokCdNm,jiyukCd,jiyukCdNm,lot,mainBldCnt,mainPurpsCd,mainPurpsCdNm,mgmPmsrgstPk,platArea,platGbCd,platPlc,realStcnsDay,rnum,sigunguCd,splotNm,stcnsDelayDay,stcnsSchedDay,totArea,totPkngCnt,useAprDay,vlRat,vlRatEstmTotArea
100,0100,신축,20040102,0,9.99,00000,1, ,0001,20150619,1, , ,0,0,0001, , ,08,대, , , ,1,01000,단독주택,11000-117,1001,0,서울특별시 종로구 종로구 1-1번지, ,1,11110, , , ,100,0,20060306,9.99,99.9999
0, , ,20040703,0,0,00000, , ,0088,20100325,0, , ,0,0,0000, , , , , , , ,0, , ,11110-6146,0,0,서울특별시 종로구 종로구 88번지, ,2,11110, , , ,0,0, ,0,0
814.26,0100,신축,20050811,0,29.92,10100,청운동 파라디아 아델하우스, ,0004,20090326,0, , ,12,0,0001,411,자연경관지구,08,대,1021,제1종일반주거지역, ,1,02000,공동주택,11110-3306,2721.72,0,서울특별시 종로구 청운동 4-1번지,20051205,1,11110, , ,20051125,4748.37,45,20070727,87.52,2382.15
0, , ,20051118,0,0,10100, , ,0004,20100325,0, , ,0,0,0001, , , , , , , ,0, , ,11110-6439,0,0,서울특별시 종로구 청운동 4-1번지, ,2,11110, , , ,0,0, ,0,0
255.6,0100,신축,20060707,0,29.69,10100,GRACE TUSCAN Ⅱ, ,0004,20090326,0, , ,4,0,0003,411,자연경관지구,08,대,1021,제1종일반주거지역, ,1,02000,공동주택,11110-3661,860.87,0,서울특별시 종로구 청운동 4-3번지,20060801,3,11110, , ,20060807,1536.11,14,20070619,84.11,724.05
0, , ,20060705,0,0,10100, , ,0004,20100325,0, , ,0,0,0003, , , , , , , ,0, , ,11110-6523,0,0,서울특별시 종로구 청운동 4-3번지, ,4,11110, , , ,0,0, ,0,0
440.78,0100,신축,19990417,0,29.79,10100,신구고려빌라, ,0004,20090326,0, , ,8,0,0007,200,경치지구, , ,1020,일반주거지역, ,1,02000,공동주택,11110-284,1479.65,0,서울특별시 종로구 청운동 4-7번지, ,5,11110, , , ,2283.68,21,20000929,87.41,1293.3
171.05,0100,신축,20030320,0,29.94,10100,리뉴빌, ,0004,20140711,0, , ,4,0,0014,411,자연경관지구,08,대,1020,일반주거지역, ,1,02000,공동주택,11110-2334,571.16,0,서울특별시 종로구 청운동 4-14번지,20030412,6,11110, , ,20030412,813.96,7,20040112,87.25,498.35
0, , ,20041103,0,0,10100, , ,0004,20100325,0, , ,0,0,0021, , , , , , , ,0, , ,11110-6201,0,0,서울특별시 종로구 청운동 4-21번지, ,7,11110, , , ,0,0, ,0,0
126, , ,20051129,0,0,10100, , ,0004,20100818,0, , ,0,0,0021, , , , , , , ,0, , ,11110-3547,664.5,0,서울특별시 종로구 청운동 4-21번지, ,8,11110, , , ,126,0, ,0,0
179.5,0700,용도변경,20050802,0,7.28,10100,예수그리스도후기성도교회수도원, ,0005,20090326,0, , ,0,0,0000,411,자연경관지구,08,대,1021,제1종일반주거지역, ,1,Z5000, ,11110-3487,2464.2,0,서울특별시 종로구 청운동 5번지, ,9,11110, , , ,397.6,4,20050803,16.14,397.6
179.5,0100,신축,20040923,0,7.28,10100,선교부장 사택, ,0005,20140315,1, , ,0,0,0000,411,자연경관지구,08,대,1021,제1종일반주거지역, ,1,01000,단독주택,11110-2926,2464.2,0,서울특별시 종로구 청운동 5번지,20041213,10,11110, , ,20041215,397.6,4,20050704,16.14,397.6
88.17,0100,신축,20040522,0,38.01,10200,1, ,0001,20100317,1, , ,0,0,0026,411,자연경관지구,08,대,1021,제1종일반주거지역, ,1,01000,단독주택,11110-2994,231.95,0,서울특별시 종로구 신교동 1-26번지,20060515,1,11110, ,20060301,20060522,119.92,0,20100316,51.7,119.92
0, , ,20071026,0,0,10200, , ,0001,20100325,0, , ,0,0,0026, , , , , , , ,0, , ,11110-6744,0,0,서울특별시 종로구 신교동 1-26번지, ,2,11110, , , ,0,0, ,0,0
0, , ,20080917,0,0,10200, , ,0001,20100325,0, , ,0,0,0027, , ,08,대, , , ,0, , ,11110-100006766,0,0,서울특별시 종로구 신교동 1-27번지, ,3,11110, , , ,0,0, ,0,0
92.75,0100,신축,20090603,0,29.3596,10200, , ,0001,20120605,3, , ,0,0,0027,300,자연환경지구,08,대,0100,도시지역, ,1,01000,단독주택,11110-100010119,315.91,0,서울특별시 종로구 신교동 1-27번지,20090617,4,11110, , ,20090701,278.25,0,20120604,88.0789,278.25
274.96,0100,신축,19990805,0,29.81,10200,코리아나하우스, ,0002,20131126,0, , ,3,0,0007,411,자연경관지구,08,대,1020,일반주거지역, ,1,02000,공동주택,11110-291,922.5,0,서울특별시 종로구 신교동 2-7번지,20010614,5,11110, , ,200106,1207.89,0,20051014,83.22,767.68
105.17,0200,증축,20091104,0,36.4414,10200,신교동 2-48 단독주택 (이성수), ,0002,20100605,0, , ,0,0,0048, , ,08,대,1021,제1종일반주거지역, ,1,01000,단독주택,11110-100011103,288.6,0,서울특별시 종로구 신교동 2-48번지,20091112,6,11110, , ,20091114,157.05,0,20100604,48.7,140.55
0, , ,20100601,0,0,10200, , ,0002,20120204,0, , ,0,0,0048, , ,08,대, , , ,0, , ,11110-100012074,0,0,서울특별시 종로구 신교동 2-48번지, ,7,11110, , , ,0,0, ,0,0
0, , ,20110727,0,0,10200, , ,0002,20110728,0, , ,0,0,0051, , ,08,대, , , ,0, , ,11110-100014230,0,0,서울특별시 종로구 신교동 2-51번지, ,8,11110, , , ,0,0, ,0,0
34.4,0100,신축,20120106,0,37.61,10200,신교동 2-51 단독주택 (방인숙), ,0002,20120929,1,UNA200,대공방어 협조구역,0,0,0051,UQF110,자연경관지구,08,대,UQA121,제1종일반주거지역, ,1,01000,단독주택,11110-100015118,91.46,0,서울특별시 종로구 신교동 2-51번지,20120502,9,11110, , ,20120430,62.49,0,20120927,68.33,62.49
75.06,0200,증축,20120507,0,52.45,10200, , ,0002,20130220,1, , ,0,0,0062, , ,08,대,UQA121,제1종일반주거지역, ,1,01000,단독주택,11110-100015739,143.1,0,서울특별시 종로구 신교동 2-62번지,20120704,10,11110, , ,20120703,139.79,0,20130215,97.69,139.79
670.43,0200,증축,20111018,0,28.49,10300,주한로마교황대사관, ,0002,20120204,0, , ,0,0,0002,UQG120,역사문화미관지구,08,대,UQA001,도시지역, ,1,14000,업무시설,11110-100014588,2353.1,0,서울특별시 종로구 궁정동 2-2번지,20111122,1,11110, , ,20111121,1479.99,0,20120106,53.59,1261.01
670.43,0600,대수선,20160523,0,28.4914,10300,궁정동 2-2 업무시설 (주한로마교황대사관), ,0002,20160913,0, , ,0,0,0002,UQG120,역사문화미관지구,08,대,UQA001,도시지역, ,1,14000,업무시설,11110-100025485,2353.1,0,서울특별시 종로구 궁정동 2-2번지,20160525,2,11110, , ,20160526,1517.38,0,20160912,55.2207,1299.4
46.71,0100,신축,20041117,0,36.44,10300,궁정동3-6번지근생, ,0003,20090326,0, , ,0,0,0006,112,최고고도지구,08,대,0100,도시지역, ,1,04000,제2종근린생활시설,11110-2937,128.17,0,서울특별시 종로구 궁정동 3-6번지,20041120,3,11110, , ,20041119,218.97,2,20050428,109.33,140.13
0, , ,20040904,0,0,10300, , ,0003,20100325,0, , ,0,0,0006, , , , , , , ,0, , ,11110-6171,0,0,서울특별시 종로구 궁정동 3-6번지, ,4,11110, , , ,0,0, ,0,0
0, , ,20160219,0,0,10300, , ,0003,20160220,0, , ,0,0,0006, , ,08,대, , , ,0, , ,11110-100024855,0,0,서울특별시 종로구 궁정동 3-6번지, ,5,11110, , , ,0,0, ,0,0
348.19,0100,신축,20160331,0,39.8027,10300,궁정동 3-6 제2종근린생활시설 (이봉주), ,0003,20160824,0,ZA0006,문화재보존영향 검토대상구역,1,0,0006,UQF110,자연경관지구,08,대,UQA001,도시지역, ,1,04000,제2종근린생활시설,11110-100025156,874.79,0,서울특별시 종로구 궁정동 3-6번지,20160526,6,11110, , ,20160516,966.56,0, ,110.4905,966.56
378.64,0100,신축,20160823,1,39.7819,10300,궁정동 3-6 단독주택 (이봉주), ,0003,20180905,0,ZA0006,문화재보존영향 검토대상구역,1,0,0006,UQF110,자연경관지구,08,대,UQA001,도시지역, ,1,01000,단독주택,11110-100026114,951.79,0,서울특별시 종로구 궁정동 3-6번지,20160907,7,11110, , ,20160905,906.27,0,20180904,59.1486,562.97
0, , ,20160222,0,0,10300, , ,0003,20160223,0, , ,0,0,0007, , ,08,대, , , ,0, , ,11110-100024857,0,0,서울특별시 종로구 궁정동 3-7번지, ,8,11110, , , ,0,0, ,0,0
0, , ,20160222,0,0,10300, , ,0003,20160223,0, , ,0,0,0008, , ,08,대, , , ,0, , ,11110-100024856,0,0,서울특별시 종로구 궁정동 3-8번지, ,9,11110, , , ,0,0, ,0,0
77.23,0100,신축,20180308,0,39.6254,10300, , ,0003,20180726,1,ZQ0001,중점경관관리구역,1,1,0018,UQF110,자연경관지구,08,대,UQA01X,도시지역, ,1,01000,단독주택,11110-100030086,194.9,0,서울특별시 종로구 궁정동 3-18번지,20180725,10,11110, , ,20180725,304.93,0, ,136.629,266.29
0,0700,용도변경,20120921,1,0,10400, , ,0025,20120925,0, , ,0,0,0000, , ,08,대, , , ,1,04000,제2종근린생활시설,11110-100016407,1,0,서울특별시 종로구 효자동 25번지, ,1,11110, , , ,69.62,0, ,0,0
218.38,0700,용도변경,20171226,0,69.55,10400,효자동 25 제1종근린생활시설, ,0025,20171229,0, , ,0,0,0000, , ,08,대, , , ,2,03000,제1종근린생활시설,11110-100029630,314,0,서울특별시 종로구 효자동 25번지, ,2,11110, , , ,532.96,0, ,169.73,532.96
0, , ,20170425,0,0,10400, , ,0033,20170426,0, , ,0,0,0001, , ,08,대, , , ,0, , ,11110-100027768,0,0,서울특별시 종로구 효자동 33-1번지, ,3,11110, , , ,0,0, ,0,0
72.69,0100,신축,20170831,0,49.95,10400,효자동 33-1 (박봉용), ,0033,20181212,1,UQQ310,제1종지구단위계획구역,0,0,0001,UQH110,최고고도지구,08,대,UQA122,제2종일반주거지역, ,1,01000,단독주택,11110-100028855,145.5,0,서울특별시 종로구 효자동 33-1번지,20180315,4,11110, , ,20180305,72.69,0, ,49.95,72.69
72.19,0100,신축,20170831,0,48.51,10400,효자동 33-1 (박봉용), ,0033,20181220,1,UQQ310,제1종지구단위계획구역,0,0,0001,UQH110,최고고도지구,08,대,UQA122,제2종일반주거지역, ,1,01000,단독주택,11110-100033429,148.8,0,서울특별시 종로구 효자동 33-1번지,20180315,5,11110, , ,20180305,72.19,0,20181219,48.51,72.19
0, , ,20020402,0,0,10400, , ,0034,20100325,0, , ,0,0,0001, , , , , , , ,0, , ,11110-5299,0,0,서울특별시 종로구 효자동 34-1번지, ,6,11110, , , ,0,0, ,0,0
80.4,0200,증축, ,0,59.54,10400, , ,0034,20141016,4,UQQ310,제1종지구단위계획구역,0,0,0001,UQH110,최고고도지구,08,대,UQA122,제2종일반주거지역, ,1,01000,단독주택,11110-100020925,135.03,0,서울특별시 종로구 효자동 34-1번지, ,7,11110, , , ,313.92,0,20141015,232.48,313.92
80.4,0100,신축,20020124,0,59.54,10400,효자동 다가구주택, ,0034,20141017,3, , ,0,0,0001,112,최고고도지구,08,대,1020,일반주거지역, ,1,01000,단독주택,11110-1502,135.03,0,서울특별시 종로구 효자동 34-1번지,20020404,8,11110, , ,20020405,260.56,2,20021030,192.96,260.56
246.31,0200,증축,20050401,0,41.88,10400,현대사회연구소 B/D, ,0038,20090326,0, , ,0,0,0000,112,최고고도지구,08,대,1022,제2종일반주거지역, ,1,04000,제2종근린생활시설,11110-3394,588.17,0,서울특별시 종로구 효자동 38번지,20050407,9,11110, , ,20040407,1192.08,8,20050620,162.72,957.08
236.26,0200,증축,20011213,0,40.17,10400,차윤철 B/D, ,0038,20090326,0, , ,1,0,0000,112,최고고도지구,08,대,1020,일반주거지역, ,1,04000,제2종근린생활시설,11110-1068,588.17,0,서울특별시 종로구 효자동 38번지,20011227,10,11110, , ,20011224,1164.42,8,20020322,158.02,929.42
0, , ,20021010,0,0,10500, , ,0000,20100325,0, , ,0,0,0000, , , , , , , ,0, , ,11110-5565,0,0,서울특별시 종로구 창성동, ,1,11110, , , ,0,0, ,0,0
0, , ,20040218,0,0,10500, , ,0017,20100325,0, , ,0,0,0001, , , , , , , ,0, , ,11110-5989,0,0,서울특별시 종로구 창성동 17-1번지, ,2,11110, , , ,0,0, ,0,0
277.3,0200,증축,20100225,0,57.3,10500,유니세프한국위원회 사옥, ,0017,20150207,0, , ,0,0,0001,102,역사문화미관지구,08,대,1022,제2종일반주거지역, ,1,14000,업무시설,11110-100011564,483.87,0,서울특별시 종로구 창성동 17-1번지,20100302,3,11110, , ,20100226,1389.33,0,20100726,176.91,856.21
274.61,0100,신축,20040304,0,56.75,10500,유니세프 한국위원회 사옥, ,0017,20170209,0, , ,0,0,0001,102,역사문화미관지구,08,대,0100,도시지역, ,1,14000,업무시설,11110-2866,483.87,0,서울특별시 종로구 창성동 17-1번지,20040610,4,11110, , ,20040605,1341.03,13,20050426,171.96,832.06
277.25,0600,대수선,20170426,0,57.3,10500,온지음, ,0017,20180616,0,ZQ0001,중점경관관리구역,0,0,0001,UQG120,역사문화미관지구,08,대,UQA001,도시지역, ,1,04000,제2종근린생활시설,11110-100027781,483.87,0,서울특별시 종로구 창성동 17-1번지,20170523,5,11110, , ,20170529,1286.82,0,20180615,161.83,783.06
391.66,0100,신축,20010319,0,49.74,10500,창성동연립주택, ,0021,20130627,0, , ,16,0,0001,102,역사문화미관지구,08,대,0100,도시지역, ,1,02000,공동주택,11110-808,787.43,0,서울특별시 종로구 창성동 21-1번지,20010330,6,11110, , ,20010329,2010.34,18,20011116,184.34,1451.54
6, , ,20100510,0,0,10500, , ,0021,20180505,0,301,제1종지구단위계획구역,0,0,0001,112,최고고도지구,08,대,1021,제1종일반주거지역, ,0, , ,11110-100011953,787.43,0,서울특별시 종로구 창성동 21-1번지, ,7,11110, , , ,6,0, ,0,0
77.31,0100,신축,20020221,0,55.39,10500,1, ,0021,20090326,0, , ,3,0,0007,112,최고고도지구,08,대,1020,일반주거지역, ,1,02000,공동주택,11110-1529,139.57,0,서울특별시 종로구 창성동 21-7번지,20020410,8,11110, , ,200204,267.95,3,20020730,191.98,267.95
92.29,0100,신축,20010925,0,58.19,10500,1, ,0021,20090326,4, , ,0,0,0007,112,최고고도지구,08,대,1020,일반주거지역, ,1,01000,단독주택,11110-960,158.6,0,서울특별시 종로구 창성동 21-7번지, ,9,11110, , , ,265.58,3, ,167.45,265.58
0, , ,20020402,0,0,10500, , ,0021,20100325,0, , ,0,0,0007, , , , , , , ,0, , ,11110-5300,0,0,서울특별시 종로구 창성동 21-7번지, ,10,11110, , , ,0,0, ,0,0
72.25,0700,용도변경,20080821,0,81.9161,10600, , ,0001,20090326,0, , ,0,0,0001,112,최고고도지구,08,대,1021,제1종일반주거지역, ,1,04000,제2종근린생활시설,11110-100006488,88.2,0,서울특별시 종로구 통의동 1-1번지, ,1,11110, , , ,135.09,0, ,153.1633,135.09
71.52,0700,용도변경,20140307,0,83.85,10600,통인동 1-7 제1종근린생활시설 (이유경), ,0001,20140322,0,UQQ310,제1종지구단위계획구역,0,0,0007,UQG120,역사문화미관지구,08,대,UQA001,도시지역, ,1,03000,제1종근린생활시설,11110-100019465,85.3,0,서울특별시 종로구 통의동 1-7번지, ,2,11110, , , ,132.84,0,20140321,155.73,132.84
0, , ,20100226,0,0,10600, , ,0002,20100325,0, , ,0,0,0001, , ,08,대, , , ,0, , ,11110-100011566,0,0,서울특별시 종로구 통의동 2-1번지, ,3,11110, , , ,0,0, ,0,0
0, , ,20130325,0,0,10600, , ,0002,20130327,0, , ,0,0,0001, , ,08,대, , , ,0, , ,11110-100017287,0,0,서울특별시 종로구 통의동 2-1번지, ,4,11110, , , ,0,0, ,0,0
208.36,0200,증축,20100415,0,51.2697,10600,통의동 2-1번지 근린생활시설, ,0002,20170413,0, , ,0,0,0001,112,최고고도지구,08,대,1021,제1종일반주거지역, ,1,04000,제2종근린생활시설,11110-100011855,406.4,0,서울특별시 종로구 통의동 2-1번지,20120515,5,11110, ,20130414,20130414,934.2,0,20170412,149.6826,608.31
0, , ,20020515,0,0,10600, , ,0006,20100325,0, , ,0,0,0000, , , , , , , ,0, , ,11110-5369,0,0,서울특별시 종로구 통의동 6번지, ,6,11110, , , ,0,0, ,0,0
227.68,0100,신축,20030103,0,59.9,10600,엘엔씨, ,0006,20130413,0, , ,0,0,0000,112,최고고도지구,08,대,1020,일반주거지역, ,1,04000,제2종근린생활시설,11110-2298,380.07,0,서울특별시 종로구 통의동 6번지,20030113,7,11110, , ,20030112,1338.16,8,20031125,284.01,1079.44
110.74,0700,용도변경,20091118,0,65.6821,10600,통의동 7-4 단독주택 (김선주), ,0007,20091126,0,318,대공방어협조구역,0,0,0004,112,최고고도지구,08,대,0100,도시지역, ,1,01000,단독주택,11110-100011144,168.6,0,서울특별시 종로구 통의동 7-4번지, ,8,11110, , , ,110.74,0,20091125,65.6821,110.74
0, , ,20021114,0,0,10600, , ,0007,20100325,0, , ,0,0,0005, , , , , , , ,0, , ,11110-5611,0,0,서울특별시 종로구 통의동 7-5번지, ,9,11110, , , ,0,0, ,0,0
55.31,0600,대수선,20140113,0,57.67,10600,통의동 7-6 단독주택 (김세형), ,0007,20151007,1,UQQ310,제1종지구단위계획구역,0,0,0006,UQH110,최고고도지구,08,대,UQA001,도시지역, ,1,01000,단독주택,11110-100019135,95.9,0,서울특별시 종로구 통의동 7-6번지,20140207,10,11110, , ,20140210,55.31,0,20151006,57.67,55.31
257.32,0100,신축,20030630,0,54.31,10700,古都, ,0001,20090326,0, , ,0,0,0000,102,역사문화미관지구,08,대,0100,도시지역, ,1,04000,제2종근린생활시설,11110-2442,473.81,0,서울특별시 종로구 적선동 1번지,20030701,1,11110, ,20050629,20030925,1305.13,6,20071205,212.34,1006.08
0, , ,20050601,0,0,10700, , ,0001,20100325,0, , ,0,0,0000, , , , , , , ,0, , ,11110-6363,0,0,서울특별시 종로구 적선동 1번지, ,2,11110, , , ,0,0, ,0,0
77.59,0600,대수선,20120803,0,91.28,10700,적선동 17, ,0017,20120815,0, , ,0,0,0000,UQH110,최고고도지구,08,대,UQA122,제2종일반주거지역, ,1,03000,제1종근린생활시설,11110-100016190,85,0,서울특별시 종로구 적선동 17번지,20120803,3,11110, , ,20120803,146.65,0,20120814,172.53,146.65
0, , ,20150130,0,0,10700, , ,0019,20150131,0, , ,0,0,0000, , ,08,대, , , ,0, , ,11110-100021997,0,0,서울특별시 종로구 적선동 19번지, ,4,11110, , , ,0,0, ,0,0
128.12,0100,신축,20141222,0,56.76,10700,하늘빌딩, ,0019,20160610,0,UQQ310,제1종지구단위계획구역,0,0,0000,UQH110,최고고도지구,08,대,UQA001,도시지역, ,1,04000,제2종근린생활시설,11110-100021517,225.72,0,서울특별시 종로구 적선동 19번지,20150622,5,11110, , ,20150629,556.16,0,20160609,192.58,434.7
0, , ,20110420,0,0,10700, , ,0023,20110422,0, , ,0,0,0000, , ,08,대, , , ,0, , ,11110-100013739,0,0,서울특별시 종로구 적선동 23번지, ,6,11110, , , ,0,0, ,0,0
13.29,0700,용도변경,20110516,0,57.53,10700,제2종근린생활시설, ,0023,20131018,0,UQQ310,제1종지구단위계획구역,0,0,0000,UQH110,최고고도지구,08,대,UQA122,제2종일반주거지역, ,1,04000,제2종근린생활시설,11110-100013809,23.1,0,서울특별시 종로구 적선동 23번지, ,7,11110, , , ,36.17,0, ,156.58,36.17
111.97,0600,대수선,20180710,0,53.5665,10700, , ,0029,20190130,0,UQQ310,제1종지구단위계획구역,0,0,0000,UQG110,중심지미관지구,08,대,UQA001,도시지역, ,1,03000,제1종근린생활시설,11110-100031071,209.03,0,서울특별시 종로구 적선동 29번지,20180927,8,11110, , ,20181001,473.44,0,20190129,172.9273,361.47
1778.27,0600,대수선,20100713,0,41.9908,10700,적선동 66 업무시설 (노스게이트제일차유동화전문유한회사), ,0066,20140124,0, , ,0,0,0000,101,중심지미관지구,08,대,1120,일반상업지역, ,1,14000,업무시설,11110-100012264,4234.9,0,서울특별시 종로구 적선동 66번지,20100728,9,11110, , ,20100726,34313.05,0,20101208,497.6958,21076.92
1778.27,0700,용도변경,20140619,0,41.99,10700,노스게이트 빌딩, ,0066,20140902,0,UMZ100,가축사육제한구역,0,0,0000,UQG110,중심지미관지구,08,대,UQA001,도시지역, ,1,14000,업무시설,11110-100020184,4234.9,0,서울특별시 종로구 적선동 66번지, ,10,11110, , , ,34313.05,0,20140825,497.7,21076.92
