bjdongCd,block,bun,crtnDay,hjdongCd,ji,jimokCd,jimokCdNm,lot,mainDongGbCd,mainDongGbCdNm,mgmPlatPlcPk,mgmPmsrgstPk,platGbCd,platPlc,relJibunNm,reprYn,rnum,sigunguCd,splotNm,mgmDongOulnPk
00000, ,0001,20150619,550,0001,08,대, ,0,전체,11000-117,11000-117,0,서울특별시 종로구 종로구 1-1번지, ,1,1,11110, ,
00000, ,0088,20100325,610,0000, , , ,0,전체,11110-6520,11110-6146,0,서울특별시 종로구 종로구 88번지, ,1,2,11110, ,
00000, ,0626,20160312,710,0000, , , ,1,동별,11110-1171,11110-10208,0,서울특별시 종로구 종로구 626번지,626,0,3,11110, ,
00000, ,0000,20090326,680,0000,08,대, ,0,전체,11110-7908,11110-798,0,서울특별시 종로구 종로구,651-103,0,4,11110, ,
00000, ,0000,20090326,630,0000, , , ,1,동별,11110-3306,11110-10935,0,서울특별시 종로구 종로구,20-7,0,5,11110, ,
00000, ,0000,20090326,630,0000, , , ,1,동별,11110-3306,11110-10936,0,서울특별시 종로구 종로구,21-1,0,6,11110, ,
00000, ,0000,20090326,630,0000, , , ,1,동별,11110-3306,11110-10937,0,서울특별시 종로구 종로구,21-2,0,7,11110, ,
00000, ,0000,20090326,630,0000, , , ,1,동별,11110-3306,11110-10938,0,서울특별시 종로구 종로구,22-1,0,8,11110, ,
00000, ,0000,20090326,630,0000, , , ,1,동별,11110-3306,11110-10939,0,서울특별시 종로구 종로구,22-2,0,9,11110, ,
00000, ,0000,20090326,630,0000, , , ,1,동별,11110-3306,11110-10940,0,서울특별시 종로구 종로구,23,0,10,11110, ,
10100, ,0036,20090326,510,0010, , , ,1,동별,11110-11635,,-, ,0,0,1,11110, ,11110-5538
10100, ,0001,20090326,510,0016, , , ,1,동별,11110-10893,,0,서울특별시 종로구 청운동 1-16번지,89-16,0,2,11110, ,11110-3074
10100, ,0003,20090326,510,0094, , , ,1,동별,11110-11167,,0,서울특별시 종로구 청운동 3-94번지,3-94,0,3,11110, ,11110-3937
10100, ,0003,20090326,510,0138, , , ,1,동별,11110-11166,,0,서울특별시 종로구 청운동 3-138번지,3-138,0,4,11110, ,11110-3937
10100, ,0004,20090326,510,0001,08,대, ,0,전체,11110-3306,,0,서울특별시 종로구 청운동 4-1번지, ,1,5,11110, ,11110-3680
10100, ,0004,20100325,510,0001, , , ,0,전체,11110-6439,,0,서울특별시 종로구 청운동 4-1번지, ,1,6,11110, ,11110-6813
10100, ,0004,20090326,510,0003,08,대, ,0,전체,11110-3661,,0,서울특별시 종로구 청운동 4-3번지, ,1,7,11110, ,11110-4035
10100, ,0004,20100325,510,0003, , , ,0,전체,11110-6523,,0,서울특별시 종로구 청운동 4-3번지, ,1,8,11110, ,11110-6897
10100, ,0004,20090326,510,0005, , , ,1,동별,11110-11163,,0,서울특별시 종로구 청운동 4-5번지,4-5,0,9,11110, ,11110-3937
10100, ,0004,20090326,510,0007, , , ,0,전체,11110-284,,0,서울특별시 종로구 청운동 4-7번지, ,1,10,11110, ,11110-483
10200, ,0001,20100317,510,0026,08,대, ,0,전체,11110-100012838,11110-2994,0,서울특별시 종로구 신교동 1-26번지, ,1,1,11110, ,
10200, ,0001,20100325,510,0026, , , ,0,전체,11110-7118,11110-6744,0,서울특별시 종로구 신교동 1-26번지, ,1,2,11110, ,
10200, ,0001,20100325,510,0027,08,대, ,0,전체,11110-100006889,11110-100006766,0,서울특별시 종로구 신교동 1-27번지, ,1,3,11110, ,
10200, ,0001,20120605,510,0027,08,대, ,0,전체,11110-100020345,11110-100010119,0,서울특별시 종로구 신교동 1-27번지, ,1,4,11110, ,
10200, ,0002,20131126,510,0007,08,대, ,0,전체,11110-490,11110-291,0,서울특별시 종로구 신교동 2-7번지, ,1,5,11110, ,
10200, ,0002,20100605,510,0048,08,대, ,0,전체,11110-100013548,11110-100011103,0,서울특별시 종로구 신교동 2-48번지, ,1,6,11110, ,
10200, ,0002,20120204,510,0048,08,대, ,0,전체,11110-100013534,11110-100012074,0,서울특별시 종로구 신교동 2-48번지, ,1,7,11110, ,
10200, ,0002,20110728,510,0051,08,대, ,0,전체,11110-100017501,11110-100014230,0,서울특별시 종로구 신교동 2-51번지, ,1,8,11110, ,
10200, ,0002,20120929,510,0051,08,대, ,0,전체,11110-100021370,11110-100015118,0,서울특별시 종로구 신교동 2-51번지, ,1,9,11110, ,
10200, ,0002,20130220,510,0062,08,대, ,0,전체,11110-100022466,11110-100015739,0,서울특별시 종로구 신교동 2-62번지, ,1,10,11110, ,
10300, ,0002,20120204,510,0002,08,대, ,0,전체,11110-100018829,11110-100014588,0,서울특별시 종로구 궁정동 2-2번지, ,1,1,11110, ,
10300, ,0002,20160913,515,0002,08,대, ,0,전체,11110-100036348,11110-100025485,0,서울특별시 종로구 궁정동 2-2번지, ,1,2,11110, ,
10300, ,0003,20090326,510,0006,08,대, ,0,전체,11110-3311,11110-2937,0,서울특별시 종로구 궁정동 3-6번지, ,1,3,11110, ,
10300, ,0003,20100325,510,0006, , , ,0,전체,11110-6545,11110-6171,0,서울특별시 종로구 궁정동 3-6번지, ,1,4,11110, ,
10300, ,0003,20160220,515,0006,08,대, ,0,전체,11110-100033893,11110-100024855,0,서울특별시 종로구 궁정동 3-6번지, ,1,5,11110, ,
10300, ,0003,20160824,515,0006,08,대, ,0,전체,11110-100034824,11110-100025156,0,서울특별시 종로구 궁정동 3-6번지, ,1,6,11110, ,
10300, ,0003,20180905,515,0006,08,대, ,0,전체,11110-100045378,11110-100026114,0,서울특별시 종로구 궁정동 3-6번지, ,1,7,11110, ,
10300, ,0003,20160223,515,0007,08,대, ,0,전체,11110-100033895,11110-100024857,0,서울특별시 종로구 궁정동 3-7번지, ,1,8,11110, ,
10300, ,0003,20160824,515,0007,08,대, ,0,전체,11110-100034825,11110-100025156,0,서울특별시 종로구 궁정동 3-7번지, ,0,9,11110, ,
10300, ,0003,20160223,515,0008,08,대, ,0,전체,11110-100033894,11110-100024856,0,서울특별시 종로구 궁정동 3-8번지, ,1,10,11110, ,
10400, ,0004,20090326,520,0004, , , ,1,동별,11110-10821,,0,서울특별시 종로구 효자동 4-4번지,76-4,0,1,11110, ,11110-2909
10400, ,0004,20090326,520,0004, , , ,1,동별,11110-10822,,0,서울특별시 종로구 효자동 4-4번지,90-4,0,2,11110, ,11110-2909
10400, ,0025,20120925,520,0000,08,대, ,0,전체,11110-100016407,,0,서울특별시 종로구 효자동 25번지, ,1,3,11110, ,11110-100021291
10400, ,0025,20171229,515,0000,08,대, ,0,전체,11110-100029630,,0,서울특별시 종로구 효자동 25번지, ,1,4,11110, ,11110-100042218
10400, ,0033,20170426,515,0001,08,대, ,0,전체,11110-100027768,,0,서울특별시 종로구 효자동 33-1번지, ,1,5,11110, ,11110-100038701
10400, ,0033,20181212,515,0001,08,대, ,0,전체,11110-100028855,,0,서울특별시 종로구 효자동 33-1번지, ,1,6,11110, ,11110-100042902
10400, ,0033,20181220,515,0001,08,대, ,0,전체,11110-100033429,,0,서울특별시 종로구 효자동 33-1번지, ,1,7,11110, ,11110-100046613
10400, ,0034,20100325,520,0001, , , ,0,전체,11110-5299,,0,서울특별시 종로구 효자동 34-1번지, ,1,8,11110, ,11110-5673
10400, ,0034,20141016,515,0001,08,대, ,0,전체,11110-100020925,,0,서울특별시 종로구 효자동 34-1번지, ,1,9,11110, ,11110-100028039
10400, ,0034,20141017,520,0001,08,대, ,0,전체,11110-1502,,0,서울특별시 종로구 효자동 34-1번지, ,1,10,11110, ,11110-1876
10500, ,0000,20100325,520,0000, , , ,0,전체,11110-5939,11110-5565,0,서울특별시 종로구 창성동, ,1,1,11110, ,
10500, ,0017,20100325,520,0001, , , ,0,전체,11110-6363,11110-5989,0,서울특별시 종로구 창성동 17-1번지, ,1,2,11110, ,
10500, ,0017,20150207,520,0001,08,대, ,0,전체,11110-100014160,11110-100011564,0,서울특별시 종로구 창성동 17-1번지, ,1,3,11110, ,
10500, ,0017,20170209,590,0001,08,대, ,0,전체,11110-3240,11110-2866,0,서울특별시 종로구 창성동 17-1번지, ,1,4,11110, ,
10500, ,0017,20180616,515,0001,08,대, ,0,전체,11110-100043916,11110-100027781,0,서울특별시 종로구 창성동 17-1번지, ,1,5,11110, ,
10500, ,0021,20130627,520,0001,08,대, ,0,전체,11110-1171,11110-808,0,서울특별시 종로구 창성동 21-1번지, ,1,6,11110, ,
10500, ,0021,20180505,520,0001,08,대, ,0,전체,11110-100013347,11110-100011953,0,서울특별시 종로구 창성동 21-1번지, ,1,7,11110, ,
10500, ,0021,20090326,520,0007,08,대, ,0,전체,11110-1323,11110-960,0,서울특별시 종로구 창성동 21-7번지, ,1,8,11110, ,
10500, ,0021,20090326,610,0007,08,대, ,0,전체,11110-1903,11110-1529,0,서울특별시 종로구 창성동 21-7번지, ,1,9,11110, ,
10500, ,0021,20100325,520,0007, , , ,0,전체,11110-5674,11110-5300,0,서울특별시 종로구 창성동 21-7번지, ,1,10,11110, ,
10600, ,0001,20090326,530,0001,08,대, ,0,전체,11110-100006700,11110-100006488,0,서울특별시 종로구 통의동 1-1번지, ,1,1,11110, ,
10600, ,0001,20090326,530,0006, , , ,0,전체,11110-100006701,11110-100006488,0,서울특별시 종로구 통의동 1-6번지, ,0,2,11110, ,
10600, ,0001,20140322,530,0007,08,대, ,0,전체,11110-100026025,11110-100019465,0,서울특별시 종로구 통의동 1-7번지, ,1,3,11110, ,
10600, ,0002,20100325,530,0001,08,대, ,0,전체,11110-100012653,11110-100011566,0,서울특별시 종로구 통의동 2-1번지, ,1,4,11110, ,
10600, ,0002,20130327,530,0001,08,대, ,0,전체,11110-100022675,11110-100017287,0,서울특별시 종로구 통의동 2-1번지, ,1,5,11110, ,
10600, ,0002,20170413,530,0001,08,대, ,0,전체,11110-100038544,11110-100011855,0,서울특별시 종로구 통의동 2-1번지, ,1,6,11110, ,
10600, ,0006,20100325,530,0000, , , ,0,전체,11110-5743,11110-5369,0,서울특별시 종로구 통의동 6번지, ,1,7,11110, ,
10600, ,0006,20130413,530,0000,08,대, ,0,전체,11110-2672,11110-2298,0,서울특별시 종로구 통의동 6번지, ,1,8,11110, ,
10600, ,0007,20091126,530,0004,08,대, ,0,전체,11110-100011816,11110-100011144,0,서울특별시 종로구 통의동 7-4번지, ,1,9,11110, ,
10600, ,0007,20100325,530,0005, , , ,0,전체,11110-5985,11110-5611,0,서울특별시 종로구 통의동 7-5번지, ,1,10,11110, ,
10700, ,0001,20090326,530,0000,08,대, ,0,전체,11110-2816,11110-2442,0,서울특별시 종로구 적선동 1번지, ,1,1,11110, ,
10700, ,0001,20100325,530,0000, , , ,0,전체,11110-6737,11110-6363,0,서울특별시 종로구 적선동 1번지, ,1,2,11110, ,
10700, ,0002,20090326,0000, , , ,1,동별,11110-2975,11110-10849,0,서울특별시 종로구 적선동 2번지,2,0,3,11110, ,,
10700, ,0003,20090326,0000, , , ,1,동별,11110-2975,11110-10850,0,서울특별시 종로구 적선동 3번지,3,0,4,11110, ,,
10700, ,0004,20090326,0000, , , ,1,동별,11110-2975,11110-10851,0,서울특별시 종로구 적선동 4번지,4,0,5,11110, ,,
10700, ,0005,20090326,0001, , , ,1,동별,11110-2975,11110-10852,0,서울특별시 종로구 적선동 5-1번지,5-1,0,6,11110, ,,
10700, ,0005,20090326,0002, , , ,1,동별,11110-2975,11110-10853,0,서울특별시 종로구 적선동 5-2번지,5-2,0,7,11110, ,,
10700, ,0006,20090326,0000, , , ,1,동별,11110-2975,11110-10854,0,서울특별시 종로구 적선동 6번지,6,0,8,11110, ,,
10700, ,0007,20090326,0000, , , ,1,동별,11110-2975,11110-10855,0,서울특별시 종로구 적선동 7번지,7,0,9,11110, ,,
10700, ,0008,20090326,0000, , , ,1,동별,11110-2975,11110-10856,0,서울특별시 종로구 적선동 8번지,8,0,10,11110, ,,
